,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,morning,noon,evening,night
411,海のリビング,海のリビング,鈴木鈴木,2021-08-05,223600,62,10,0,0.652,0.0905,0.846,0.0,0.242,-4.005,0.0374,97.998,4,0.762,0,1,1,0
412,雲の上,PURPLE,心之助,2021-08-30,215306,54,9,1,0.574,0.0248,0.897,0.0,0.148,-4.188,0.241,172.001,4,0.379,0,0,1,0
413,うぉ,うぉ,Yuuri,2022-05-13,168026,61,11,1,0.704,0.315,0.66,0.0,0.0852,-4.602,0.0929,109.873,4,0.86,0,0,1,0
414,つつみ込むように...,i,iScream,2022-04-20,349817,33,0,1,0.639,0.0911,0.807,2.17e-06,0.0535,-4.679,0.0452,79.971,4,0.676,0,0,1,0
415,タイムマシン,タイムマシン,Yuuri,2022-07-12,201133,64,5,1,0.706,0.158,0.717,0.0,0.109,-4.248,0.041,111.972,4,0.834,0,0,1,0
416,おにごっこ,おにごっこ,Yuuri,2022-09-12,230040,66,6,1,0.651,0.6,0.556,0.0,0.213,-6.183,0.029,75.947,4,0.566,0,0,1,0
417,初恋が泣いている,瞳へ落ちるよレコード,Aimyon,2022-08-17,239333,58,6,1,0.608,0.0175,0.819,0.000184,0.312,-4.044,0.0301,105.026,4,0.659,0,0,1,0
418,ALL HOURS,ALL HOURS,JO1,2022-06-16,195933,50,1,1,0.544,0.00296,0.924,0.0,0.511,-5.392,0.214,158.016,4,0.533,0,0,1,0
419,Password,Password,INI,2022-08-08,179746,59,10,0,0.776,0.00625,0.905,0.0,0.106,-3.024,0.191,101.967,4,0.61,0,0,1,0
420,燦燦,燦燦,Daichi Miura,2022-04-12,264333,57,2,1,0.419,0.651,0.305,0.0,0.0854,-7.353,0.0303,80.398,4,0.393,0,0,1,0
421,のびしろ,Case,Creepy Nuts,2021-09-01,236840,65,11,0,0.669,0.252,0.928,0.0,0.0686,-2.926,0.0699,174.004,4,0.963,0,1,1,0
422,エジソン,ネオン,WEDNESDAY CAMPANELLA,2022-05-25,193510,72,1,0,0.838,0.0195,0.729,0.0089,0.101,-5.733,0.0802,129.999,4,0.619,0,0,1,0
423,新時代,ウタの歌 ONE PIECE FILM RED,Ado,2022-08-09,226813,77,7,1,0.49,0.049,0.987,3.24e-06,0.406,-2.279,0.253,175.064,4,0.451,0,0,1,0
424,PAKU,PAKU,asmi,2022-03-30,125771,62,7,1,0.84,0.296,0.889,3.52e-05,0.344,-4.968,0.125,124.04,4,0.961,0,0,1,0
425,タイミング ~Timing~,タイミング ~Timing~,Klang Ruler,2021-12-24,200822,61,10,0,0.756,0.114,0.607,2.15e-05,0.039,-5.01,0.0376,124.005,4,0.713,0,0,1,0
426,恋風邪にのせて,恋風邪にのせて,Vaundy,2022-03-07,255914,69,6,0,0.595,6.4e-05,0.909,0.000355,0.387,-3.594,0.0341,118.021,4,0.537,0,0,1,1
427,We Are,We Are,INI,2022-03-20,211013,47,0,1,0.632,0.00228,0.841,0.0,0.131,-4.678,0.0528,122.088,4,0.541,0,0,1,0
428,ダンスホール,ダンスホール,Mrs. GREEN APPLE,2022-05-23,203149,77,7,1,0.736,0.0209,0.695,0.0,0.0517,-3.87,0.0468,109.976,4,0.784,0,1,1,0
429,ニュー・マイ・ノーマル,ニュー・マイ・ノーマル,Mrs. GREEN APPLE,2022-03-18,244338,62,1,1,0.404,0.0032,0.832,0.0,0.0805,-2.87,0.0541,172.98,4,0.603,0,0,1,0
430,Shining One,Shining One,BE:FIRST,2021-08-16,244106,60,7,0,0.716,0.115,0.737,0.0,0.138,-5.671,0.0851,144.986,4,0.573,0,0,1,0
431,CALL 119,CALL 119,INI,2022-03-20,195466,53,2,1,0.769,0.0474,0.973,0.0,0.0401,-2.092,0.127,105.003,4,0.759,0,0,1,0
432,Butter,Proof,BTS,2022-06-10,164952,84,8,1,0.759,0.00323,0.459,0.0,0.0788,-5.187,0.0948,109.997,4,0.695,0,1,1,0
433,Butter - Megan Thee Stallion Remix,Butter (Megan Thee Stallion Remix),BTS,2021-08-27,164457,71,8,1,0.739,0.00308,0.588,0.0,0.109,-4.971,0.136,109.958,4,0.774,0,0,1,0
434,Permission to Dance,Permission to Dance,BTS,2021-07-23,187585,81,9,1,0.702,0.00544,0.741,0.0,0.337,-5.33,0.0427,124.925,4,0.646,0,0,1,0
435,FOR YOU,YOUTH,BTS,2016-09-07,284586,46,4,1,0.548,0.44,0.809,0.0,0.102,-4.533,0.185,165.892,4,0.574,0,0,1,0
436,4 O'clock,4 O'clock,Joytastic Sarah,2019-08-24,229720,31,7,1,0.612,0.889,0.205,0.00058,0.203,-14.676,0.0336,127.93,4,0.0777,0,0,1,0
437,Love Is Not Over - Full Length Edition,The Most Beautiful Moment in Life: Young Forever,BTS,2016-05-02,221619,61,2,1,0.462,0.124,0.576,0.0,0.127,-5.089,0.0831,102.972,4,0.278,0,0,1,0
438,Tomorrow,Skool Luv Affair,BTS,2014-02-12,261574,62,1,0,0.399,0.00946,0.887,0.0,0.281,-2.578,0.201,128.119,4,0.627,0,0,1,0
439,Interlude: Wings,Wings,BTS,2016-10-10,144313,59,11,0,0.638,0.0102,0.851,0.0,0.114,-3.042,0.0663,124.992,4,0.6,0,0,1,0
440,Miss Right,Skool Luv Affair (Special Addition),BTS,2014-05-14,241374,59,1,1,0.718,0.371,0.835,0.0,0.0764,-4.925,0.213,92.97,4,0.855,0,0,1,0
441,Outro: House of Cards,The Most Beautiful Moment in Life Pt.2,BTS,2015-11-30,177413,59,2,1,0.37,0.4,0.652,0.0,0.129,-4.717,0.0402,104.162,4,0.265,0,0,1,0
442,Where You From,Skool Luv Affair,BTS,2014-02-12,240106,55,7,1,0.654,0.432,0.867,0.0,0.0745,-1.772,0.313,85.078,4,0.919,0,0,1,0
443,Spine Breaker,Skool Luv Affair,BTS,2014-02-12,238529,65,0,1,0.679,0.164,0.927,0.0,0.437,-1.058,0.15,93.989,4,0.861,0,0,1,0
444,I Need U,The Best Of BTS (Korea Edition),BTS,2017-01-06,214506,52,5,0,0.48,0.0235,0.857,0.0,0.273,-4.245,0.0738,158.462,4,0.727,0,0,1,0
445,So 4 more,Dark & Wild,BTS,2014-08-20,235020,58,8,1,0.676,0.00405,0.925,6.31e-06,0.279,-2.451,0.111,163.952,4,0.798,0,0,1,0
446,Intro: Never Mind,The Most Beautiful Moment in Life Pt.2,BTS,2015-11-30,136428,55,6,0,0.339,0.00765,0.949,0.0,0.329,-4.942,0.904,79.956,4,0.397,0,0,1,0
447,MIC Drop,Love Yourself 承 'Her',BTS,2017-09-18,238193,67,6,1,0.667,0.00912,0.889,0.0,0.0816,-4.851,0.0917,169.961,4,0.541,0,0,1,0
448,Blood Sweat & Tears,The Best Of BTS (Korea Edition),BTS,2017-01-06,217226,51,0,0,0.558,0.0261,0.89,0.0,0.349,-3.861,0.141,92.97,4,0.584,0,0,1,0
449,Rainism,RAINISM,Rain,2009-03-03,217386,59,9,1,0.864,0.03,0.79,0.0189,0.0863,-5.358,0.102,123.994,4,0.646,0,0,1,0
450,きらきら,きらきら,もさを。,2020-09-07,180000,60,11,1,0.688,0.376,0.753,0.0,0.232,-3.681,0.0302,105.016,4,0.622,0,0,1,1
451,ぎゅっと。,ぎゅっと。,もさを。,2020-07-27,269746,61,4,1,0.773,0.814,0.363,0.0,0.103,-7.304,0.0383,119.994,4,0.774,0,0,1,1
