,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,sunny,cloudy,rainy
79,オルターエゴ,オルターエゴ,Misumi,2021-03-03,222954,48,0,1,0.482,0.0782,0.889,0.000965,0.392,-5.325,0.0392,175.997,4,0.55,0,1,0
80,夜咄ディセイブ,メカクシティレコーズ,Jin,2013-05-29,197200,41,11,0,0.501,0.000547,0.968,0.0012,0.259,-3.576,0.207,129.895,4,0.778,0,1,0
81,からくりピエロ -初音ミク「マジカルミライ 2014」Live-,初音ミク「マジカルミライ 2014」 [Live],Various Artists,2015-02-25,195048,50,7,0,0.48,0.458,0.855,2.16e-06,0.78,-4.107,0.086,203.921,4,0.619,0,1,0
82,ツギハギスタッカート,ツギハギスタッカート,toa,2014-08-22,250359,55,7,1,0.898,0.555,0.777,0.0,0.312,-7.245,0.0566,138.987,4,0.934,0,1,0
83,ウミユリ海底譚,花と水飴、最終電車,n-buna,2015-07-22,236068,53,0,0,0.6,0.166,0.966,2.02e-06,0.324,-3.228,0.0431,120.008,4,0.965,0,1,0
84,ロウワー,ロウワー,ぬゆり,2021-11-09,230000,58,10,0,0.62,0.0355,0.944,8.95e-05,0.206,-3.361,0.134,132.05,4,0.801,0,1,0
85,potatoになっていく (feat. 天馬司&鳳えむ&草薙寧々&神代類&初音ミク),セカイはまだ始まってすらいない/potatoになっていく,ワンダーランズ×ショウタイム,2021-07-21,187500,60,1,1,0.795,0.513,0.85,0.000424,0.0687,-6.483,0.0918,115.991,4,0.741,0,1,0
86,たぶん,THE BOOK,YOASOBI,2021-01-06,256773,68,5,1,0.748,0.157,0.661,0.00102,0.101,-6.702,0.0334,90.003,4,0.743,0,2,0
87,ハルジオン,THE BOOK,YOASOBI,2021-01-06,198600,63,8,1,0.687,0.0545,0.873,0.0,0.318,-3.852,0.0335,130.024,4,0.884,0,1,0
88,ダウナーウィッチ,ダウナーウィッチ,廉,2020-11-06,213915,39,4,0,0.363,0.133,0.747,1.06e-05,0.149,-6.035,0.0378,151.873,4,0.931,0,1,0
89,エンヴィーベイビー,エンヴィーベイビー,Kanaria,2021-02-13,135789,55,6,0,0.637,0.0424,0.66,0.0126,0.278,-7.155,0.114,170.936,4,0.893,0,1,0
90,蜜ノ味,シナスタジア,Rain Drops,2020-05-13,180133,35,1,0,0.732,0.0122,0.767,4.48e-05,0.0279,-2.97,0.0301,109.03,4,0.866,0,2,0
91,リテラシー,リテラシー,wotaku,2021-07-24,210461,32,1,0,0.574,0.00864,0.914,1.8e-05,0.156,-4.509,0.0428,130.006,4,0.852,0,1,0
92,フィクサー,plotoplan,ぬゆり,2017-12-29,247111,49,11,0,0.656,0.167,0.918,1.97e-06,0.333,-4.051,0.089,134.962,4,0.689,0,1,0
93,旧約汎化街,旧約汎化街,柊マグネタイト,2020-10-30,352554,23,7,1,0.47,0.00425,0.953,0.405,0.102,-3.376,0.0556,137.004,4,0.482,0,1,0
94,終焉逃避行,終焉逃避行,柊マグネタイト,2020-12-11,179591,36,6,0,0.463,0.0027,0.865,0.000325,0.0849,-1.532,0.0508,147.055,4,0.792,0,1,0
95,凹面黙示録,凹面黙示録,柊マグネタイト,2021-06-02,202285,21,1,0,0.32,0.32,0.857,0.0,0.369,-3.084,0.079,174.998,4,0.185,0,1,0
96,フラジール,plotoplan,ぬゆり,2017-12-29,270236,48,5,0,0.651,0.0641,0.857,0.0,0.393,-6.184,0.0726,127.007,4,0.923,0,1,0
97,懺悔参り,浮世巡り,Maigo Hanyuu,2018-10-03,201533,0,7,1,0.645,0.214,0.819,0.00073,0.339,-4.205,0.0474,139.93,4,0.651,0,1,0
98,悔やむと書いてミライ (feat. 宵崎奏&朝比奈まふゆ&東雲絵名&暁山瑞希&初音ミク),悔やむと書いてミライ/携帯恋話/ジャックポットサッドガール,25時、ナイトコードで。,2021-08-04,229100,53,4,0,0.593,0.0501,0.979,0.0,0.144,-4.13,0.186,97.049,4,0.289,0,1,0
99,携帯恋話 (feat. 東雲絵名&暁山瑞希&初音ミク),悔やむと書いてミライ/携帯恋話/ジャックポットサッドガール,25時、ナイトコードで。,2021-08-04,253301,54,10,0,0.596,0.241,0.899,1.06e-05,0.184,-5.3,0.106,149.992,4,0.786,0,1,0
100,ジャックポットサッドガール (feat. 宵崎奏&朝比奈まふゆ&東雲絵名&暁山瑞希&初音ミク),悔やむと書いてミライ/携帯恋話/ジャックポットサッドガール,25時、ナイトコードで。,2021-08-04,183500,58,11,0,0.559,0.00736,0.936,6.29e-05,0.329,-4.781,0.0501,203.982,4,0.946,0,1,0
101,ジャンキーナイトタウンオーケストラ,HEAUTOSCOPY,すりぃ,2021-03-03,215336,39,3,0,0.582,0.0166,0.954,0.0,0.155,-4.689,0.0546,144.967,4,0.922,0,1,0
102,空中分解,HEAUTOSCOPY,すりぃ,2021-03-03,169913,38,10,0,0.599,0.0197,0.818,0.0,0.132,-7.365,0.0391,100.06,4,0.886,0,1,0
103,リテラシー (feat. KAITO),リテラシー,wotaku,2021-08-04,210461,30,1,0,0.616,0.00325,0.842,0.000774,0.138,-4.912,0.0485,130.016,4,0.826,0,1,0
104,エゴロック,HEAUTOSCOPY,すりぃ,2021-03-03,169986,52,0,0,0.636,0.012,0.907,0.0,0.25,-6.663,0.0643,112.463,4,0.822,0,1,0
105,テレキャスタービーボーイ,HEAUTOSCOPY,すりぃ,2021-03-03,165306,48,8,0,0.557,0.116,0.793,0.0,0.253,-5.043,0.0647,181.97,4,0.961,0,1,0
106,ビーバー,HEAUTOSCOPY,すりぃ,2021-03-03,230943,31,7,0,0.757,0.224,0.875,3.98e-06,0.268,-5.911,0.0391,130.008,4,0.916,0,1,0
107,群青,群青,YOASOBI,2020-09-01,248444,66,10,1,0.719,0.321,0.87,0.0,0.187,-3.073,0.0472,134.979,4,0.732,0,1,0
108,エンドロール,Gänger,夏代孝明,2018-11-14,262000,39,2,1,0.536,0.0591,0.925,0.0,0.14,-2.555,0.0464,154.982,4,0.87,0,1,0
109,君になりたいから,It'sLie,緑仙,2021-02-14,298290,23,11,1,0.439,0.0146,0.507,0.0,0.143,-4.656,0.03,175.89,4,0.391,0,1,0
110,イツライ,It'sLie,緑仙,2021-02-14,195200,34,5,1,0.615,0.0999,0.955,0.0,0.15,-1.251,0.0541,150.001,4,0.823,0,1,0
111,大人禁猟区,恋色同盟,HoneyWorks,2020-01-14,232992,17,6,0,0.585,0.0543,0.927,0.000129,0.0815,-1.739,0.0686,172.032,4,0.72,0,1,0
112,醜い生き物,醜い生き物,CHiCO with HoneyWorks,2021-01-20,220626,43,7,1,0.336,0.000727,0.966,2.85e-06,0.352,-1.497,0.109,97.211,4,0.37,0,1,0
113,鬼ノ森,鬼ノ森,CHiCO with HoneyWorks,2021-01-20,275640,32,5,1,0.413,0.662,0.507,0.0,0.173,-4.542,0.0276,75.137,4,0.229,0,1,0
114,泥の分際で私だけの大切を奪おうだなんて,泥の分際で私だけの大切を奪おうだなんて,TUYU,2020-08-24,192266,43,3,1,0.603,0.303,0.943,0.0,0.279,-2.511,0.0479,112.488,4,0.902,0,1,0
115,ゴーストルール,GHOST,DECO*27,2016-09-28,210000,50,2,1,0.564,0.0279,0.894,0.0,0.281,-4.596,0.0601,104.955,4,0.472,0,1,0
116,flos,Quartia,R Sound Design,2018-10-03,274576,45,1,0,0.617,0.308,0.749,0.0,0.0719,-2.652,0.0518,118.031,4,0.757,0,1,0
117,命ばっかり,plotoplan,ぬゆり,2017-12-29,252187,46,4,0,0.624,0.00805,0.958,0.0,0.305,-4.959,0.0496,127.988,4,0.967,0,1,0
118,幽霊東京,幽霊東京 (digital edition),Ayase,2019-11-23,204213,45,0,0,0.744,0.0584,0.82,0.0,0.313,-5.481,0.0294,123.936,4,0.919,0,1,0
119,独りんぼエンヴィー,sincere (selection),DAZBEE,2018-01-24,205000,42,11,1,0.493,0.215,0.633,0.0,0.0662,-3.252,0.0422,131.903,4,0.763,0,1,0
120,孤独の宗教,必死,syudou,2020-11-25,190555,41,4,0,0.66,0.067,0.89,2.36e-05,0.345,-3.926,0.0843,108.018,4,0.886,0,1,0
121,トリコロージュ,トリコロージュ,煮ル果実,2022-02-10,261230,45,1,0,0.64,0.0134,0.904,1e-05,0.228,-3.512,0.0401,129.99,4,0.745,0,1,0
122,ノマド,ノマド,balloon,2022-03-28,232145,45,9,0,0.666,0.0493,0.604,2.46e-06,0.119,-5.771,0.0297,89.876,4,0.459,0,1,0
123,とても素敵な六月でした,コバルトブルーの白昼夢,Eight,2014-04-26,283426,37,8,1,0.599,0.0606,0.947,0.0,0.314,-3.37,0.0651,104.98,4,0.582,0,1,0
124,命に嫌われている,白紙,カンザキイオリ,2021-08-11,268166,37,0,1,0.731,0.151,0.786,2.96e-06,0.35,-6.142,0.0395,99.97,4,0.941,0,1,0
125,ジェヘナ (feat. 初音ミク),トラゴイディア,wotaku,2021-12-01,246438,51,11,1,0.702,0.356,0.938,0.0,0.359,-2.723,0.0665,128.001,4,0.962,0,1,0
126,あわよくばきみの眷属になりたいな,Immortal Club,Peg,2019-11-17,186820,37,9,0,0.698,0.106,0.742,0.0,0.214,-6.002,0.0389,124.955,4,0.931,0,1,0
127,ビターチョコデコレーション,最悪,syudou,2019-04-28,197931,56,4,0,0.525,0.00938,0.906,2.59e-05,0.255,-1.736,0.132,86.92,4,0.844,0,1,0
128,アイデンティティ,アイデンティティ,Kanaria,2022-01-14,155692,61,7,1,0.735,0.0515,0.765,0.000105,0.269,-6.418,0.0486,97.472,4,0.51,0,1,0
129,シネマ (feat. 小豆沢こはね&白石杏&東雲彰人&青柳冬弥&KAITO),RAD DOGS/シネマ,Vivid BAD SQUAD,2021-11-17,211000,57,9,0,0.62,0.012,0.835,0.0,0.188,-7.326,0.0338,124.022,4,0.87,0,1,0
130,魔法少女とチョコレゐト,魔法少女とチョコレゐト,PinocchioP,2022-02-26,187600,53,6,0,0.646,0.0866,0.863,0.0,0.861,-7.107,0.0531,150.086,4,0.886,0,1,0
131,CapSule,CapSule,Mori Calliope,2022-04-04,174842,56,1,1,0.796,0.0261,0.841,0.0,0.24,-4.486,0.0475,119.99,4,0.631,0,1,0
132,エリート,エリート,Chinozo,2021-11-03,169999,48,8,1,0.766,0.0197,0.568,0.0,0.0633,-8.133,0.0366,119.97,4,0.858,0,1,0
133,マーシャル・マキシマイザー,KAF+YOU KAFU COMPILATION ALBUM シンメトリー,Various Artists,2021-12-18,163686,53,10,0,0.679,0.0387,0.872,0.000338,0.575,-5.489,0.0565,95.024,4,0.529,0,1,0
134,アイディスマイル,アイディスマイル,toa,2021-05-20,181052,39,7,1,0.648,0.239,0.561,2.82e-06,0.054,-8.941,0.0532,170.978,4,0.807,0,1,0
135,ショウタイム・ルーラー,ショウタイム・ルーラー,Karasuya Sabou,2022-01-12,213784,39,4,0,0.529,0.0784,0.969,0.0,0.26,-1.837,0.0682,102.015,4,0.459,0,1,0
