,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,id
63,365days of funk,365days of funk,addginjahzz,2021-07-27,217728,1,7,0,0.662,0.114,0.876,1.41e-05,0.224,-4.29,0.0941,85.007,4,0.712,34Qywo0TR8zmWANNBdcsIu
64,Zoo Rock,TWICE BORN,SIMON,2011-06-08,204186,20,11,0,0.441,0.0156,0.843,0.0,0.153,-5.914,0.148,104.024,4,0.342,3Ikt9Iu12uzhbnFe7BGtDS
65,大金持ちのあなたと貧乏な私,大金持ちのあなたと貧乏な私,LEX,2022-04-29,242500,49,4,1,0.665,0.0115,0.849,0.0,0.131,-3.737,0.0457,120.039,4,0.355,3zcfay52F8imT8MfLkjzKe
66,They Want SKR - 六畳二間 Mix,They Want SKR (六畳二間 Mix),SKRYU,2022-06-08,150000,34,7,1,0.828,0.0586,0.618,0.0,0.132,-6.544,0.266,99.864,4,0.617,4nyoEx7a43MWrvWylWyK06
67,くそったれFor Life - Remix,くそったれFor Life (Remix),SIMON JAP,2018-09-26,231157,32,1,1,0.541,0.039,0.917,0.00092,0.0545,-3.241,0.198,94.765,4,0.606,7jo03ulHuMgHYgzdke5Awe
68,Super Ocean Man,t-mix,Tohji,2022-06-03,193548,49,10,1,0.459,0.129,0.963,0.0834,0.173,-2.489,0.061,154.967,4,0.463,3M3tWWm40ZGGvku8Iptp5L
69,Boukan,#4,Ling tosite sigure,2005,380320,20,8,0,0.354,0.144,0.276,0.00581,0.684,-8.868,0.0549,116.787,4,0.106,3XwohUnBHjLbkqxHbFTXle
70,ULTRA RARE,ULTRA RARE,Tohji,2022-04-22,171063,39,8,1,0.524,0.417,0.849,0.0,0.0939,-4.899,0.0668,140.928,4,0.418,26RFaKl51P0G3wL1Q3T3c8
71,Intro,Intro,Jin Dogg,2022-05-04,198076,35,5,0,0.425,0.00394,0.57,2.92e-05,0.151,-5.705,0.171,79.508,4,0.172,18rCbRPJux2mLFavubVIui
72,TOKYO KIDS - Cover,TOKYO KIDS (Cover),DJ TATSUKI,2022-05-27,212166,49,1,1,0.651,0.22,0.803,0.000112,0.603,-7.376,0.272,180.002,4,0.851,5LY1uDh0S2rSSatHC70zVq
73,No Time to Cast Anchor,No Time to Cast Anchor,millennium parade,2022-05-27,192713,49,1,1,0.628,0.176,0.84,2.15e-06,0.0813,-6.822,0.0529,90.035,4,0.579,1fNDKKuErDdqMka5NhwkeF
74,oh boy,1996,Tohji,2017-09-01,208500,26,7,0,0.694,0.343,0.3,3.92e-05,0.106,-10.922,0.0715,160.074,4,0.0914,3ZwPoIZCYCHd0mK32In8WZ
75,思ったよりも,NIGIRI,SUSHIBOYS,2017-10-15,164000,19,7,0,0.746,0.353,0.788,0.0,0.267,-6.471,0.16,124.055,4,0.721,4goAHmCCBdkVJDBAPVMBQA
76,アトラクション - Remix,アトラクション (Remix),WATT a.k.a. YOTTERUBUTTERU,2013-10-30,229003,8,7,1,0.735,0.187,0.894,0.0,0.317,-4.518,0.246,96.979,4,0.615,6dhBQSXxArwZqbySdUgT0U
77,Twilight Zone,Twilight Zone,Tohji,2022-05-06,213540,26,1,1,0.401,0.176,0.789,0.00263,0.103,-5.781,0.0628,148.984,4,0.417,4s9Egj5XxzwzOORXXLXq2J
78,Love of Hell,dive,TYOSiN,2019-10-09,152721,23,6,0,0.598,0.0168,0.661,0.0,0.111,-9.791,0.0423,164.062,4,0.342,1Un9XxYRX18jq1YRLg6VyJ
79,奇襲,奇襲,Young zetton,2020-08-26,151475,23,6,0,0.607,0.00168,0.98,2e-05,0.318,-1.448,0.0875,121.939,4,0.527,3NbTw5fubieL0NSfR1XCcY
80,IKIJIBIKI,ANTI ANTI GENERATION,RADWIMPS,2018-12-12,229733,47,8,1,0.382,4.46e-05,0.991,0.0,0.232,-2.623,0.0924,175.992,4,0.513,4Wg44xVHmH1yF6AmWHLXYS
81,Do It feat. \ellow Bucks & Zeebra,Do It feat. \ellow Bucks & Zeebra,DJ Hazime,2020-04-22,202039,20,9,1,0.72,0.0311,0.841,0.0,0.288,-6.629,0.137,92.031,4,0.739,5VTAFrm7d3eVDbeYLMFlzc
82,KONOMAMA,KONOMAMA,Young Coco,2017-11-13,226669,28,5,1,0.746,0.245,0.809,7.57e-05,0.0882,-4.542,0.0602,103.071,4,0.517,3nPaLea8IDLi45RLbUKTJC
83,Chewing Gum,AHIRU,Shaka Bose,2022-04-13,215333,24,11,0,0.557,0.177,0.588,0.00402,0.0668,-8.287,0.333,180.081,4,0.475,3eNbwG3D3dqXqmFN4VX7Hz
84,DAWG LIFE FREE STYLE - Remix,DAWG LIFE FREE STYLE (Remix),Sound's Deli,2022-04-15,199371,35,0,1,0.685,0.0615,0.858,0.0,0.0685,-5.477,0.263,174.998,4,0.818,2UtS9Bu7V7rRIWs0hdO4DO
85,One Way feat. YONCE,One Way feat. YONCE,Ryohu,2022-04-06,209866,40,1,0,0.829,0.371,0.815,0.0,0.191,-4.738,0.149,113.003,4,0.844,4MurygBmG61XN24T1VbQQy
86,DOPE SMOKERZ,忍,DIGITAL NINJA,2022-02-22,194666,10,10,0,0.595,0.06,0.708,0.0,0.126,-5.622,0.329,180.102,4,0.608,1mVAZu6HPFE6tWggCwpuG5
87,Kick Up,Kick Up,JUMADIBA,2022-04-13,187696,41,11,0,0.832,0.483,0.832,1.27e-05,0.124,-4.993,0.282,154.896,4,0.519,4aZpjruA4GGvDNH9XwXaXc
88,雷鳴,雷鳴,TYOSiN,2022-04-27,256000,24,1,1,0.752,0.00228,0.944,0.0,0.147,-0.683,0.0471,119.99,4,0.274,5d7edESJ1DelQVOiP0E4jD
89,抜忍,忍,DIGITAL NINJA,2022-02-22,161666,11,1,1,0.719,0.13,0.624,1.76e-06,0.373,-5.97,0.379,180.154,4,0.676,3BWmHBF8W7vh8pOjRDHyJf
90,Climax,Climax,DJ TATSUKI,2022-04-15,134423,37,1,1,0.846,0.0234,0.806,0.0,0.113,-4.63,0.0729,130.084,4,0.516,7EdskS8IZNNbgSfZI2cVsf
91,Sanctuary,Nectar,Joji,2020-09-25,180018,74,1,1,0.552,0.387,0.638,0.00014,0.374,-7.474,0.11,167.834,4,0.332,0rOLFkjY5DSIViVBNnzOuK
92,OOPARTS,our hope,Hitsujibungaku,2022-04-20,306693,42,2,1,0.441,0.00338,0.638,8.6e-05,0.0896,-5.984,0.0286,136.888,4,0.0523,2WxK04UTeg0ZkYWaw5DLdm
93,くだらない,our hope,Hitsujibungaku,2022-04-20,215453,45,2,1,0.543,0.433,0.608,8.08e-05,0.129,-8.466,0.0344,153.887,4,0.32,2FxcF1q8xgGUEJkKC0lla1
94,In My Eyez,In My Eyez,KEIJU,2022-02-23,181655,45,0,1,0.748,0.333,0.504,4.9e-05,0.0685,-8.153,0.0644,150.065,4,0.71,5Zyhvst9XXg44YpaiTbQ2f
95,No Pressure!!!,05:56 KOKORO,Young Coco,2021-08-27,174146,33,1,0,0.756,0.0842,0.549,2.82e-06,0.183,-6.414,0.105,166.041,4,0.448,1DqDOrSrrlU0r0aI43DkKD
96,Plan,Plan,FFFFFF,2022-03-09,139487,10,1,1,0.913,0.33,0.817,0.0,0.142,-8.883,0.354,116.957,4,0.563,6zsBB28c3GDSKRxq8F7Ua8
97,Imposter,plums,HOKUTO,2021-09-29,178615,31,1,0,0.597,0.563,0.688,0.0,0.236,-7.082,0.363,82.469,4,0.884,3BvugQQ8GbtsW9lDYEHS36
98,Rockstar,Rockstar,AMBR,2022-02-16,194850,21,8,1,0.727,0.321,0.501,0.0,0.0767,-7.695,0.0896,137.888,4,0.748,2cSlOfLyKtCktCtCD0uRYX
99,Life is...,Life is...,BASH da RIPPA,2022-02-21,170373,32,7,1,0.772,0.0788,0.676,0.0,0.117,-7.48,0.25,96.979,4,0.732,5gz0AxY6jXekhayyIXrOQO
100,I RAVE U,I RAVE U,Hiyadam,2022-03-18,188626,32,9,1,0.735,0.0292,0.915,0.315,0.0599,-5.022,0.0508,125.997,4,0.666,6tfIiQ9FJSHtgttFJmKFTy
101,Factory,Factory,Sadajyo,2022-03-25,127792,14,11,1,0.748,0.135,0.521,0.0,0.072,-7.377,0.461,154.099,4,0.583,4bT08qevDMprcdLUZtmYUN
102,秘密,秘密,みゆな,2022-04-13,241550,28,7,1,0.525,0.108,0.658,0.0,0.108,-7.504,0.0558,142.898,4,0.266,3xAdEKillxmWDnaUbWx6xY
103,スプリング,スプリング,reGretGirl,2020-04-15,249573,17,3,1,0.607,0.00984,0.833,0.0,0.241,-2.6,0.0304,125.951,4,0.702,1xL436kAHNsz6E20Kk8N9M
104,それでは、また明日,ランドマーク,ASIAN KUNG-FU GENERATION,2012-09-12,222506,40,0,0,0.387,0.0144,0.823,1.1e-06,0.0678,-4.636,0.0486,175.278,4,0.709,1hKo3EDxp9jpf9wlXOQiOA
105,Jitsuryoku,Jitsuryoku,Hideyoshi,2020-10-14,236980,45,2,1,0.811,0.0143,0.731,1.35e-05,0.0982,-5.0,0.174,154.005,4,0.462,67GRILbgzKqkDD73luWD8O
106,Black Hole,HEISEI,Shaka Bose,2018-11-07,209162,41,1,1,0.763,0.178,0.673,4.83e-05,0.073,-7.614,0.0629,93.504,4,0.519,2BYkOBhX9hbvbcbxr5uOru
107,Seven Sinners,Seven Sinners,Various Artists,2015-10-04,199453,34,8,1,0.795,0.142,0.732,1.46e-06,0.446,-9.0,0.253,96.023,4,0.734,18fioExxAQ6pI9kdX2Zjjh
108,教祖誕生,INDIES COMPLETE,Creepy Nuts,2018-07-25,237080,31,6,0,0.733,0.3,0.881,0.0,0.106,-4.585,0.204,141.935,4,0.872,1spJ5DfiHNUzKMtbXXCubS
109,オレンジ,オレンジ,とらドラ!,2009-01-28,278333,33,5,1,0.551,0.16,0.947,0.0,0.267,-3.886,0.0706,140.035,4,0.516,3CSy3ua1eqT6M1zHjBzq02
110,SLOW DANCING IN THE DARK,BALLADS 1,Joji,2018-10-26,209273,86,3,1,0.515,0.544,0.479,0.00598,0.191,-7.458,0.0261,88.964,4,0.284,0rKtyWc8bvkriBthvHKY8d
111,Light Switch,That's Hilarious,Charlie Puth,2022-04-08,187703,51,6,1,0.69,0.105,0.626,0.000335,0.0881,-5.693,0.306,184.009,4,0.912,507C3iFe1EDJ8IUttDeO5j
112,That's Hilarious,That's Hilarious,Charlie Puth,2022-04-08,144933,78,6,1,0.714,0.742,0.442,0.0,0.114,-5.909,0.0605,108.039,4,0.546,1jIMjbzcGCcCQn5iMu9CUc
113,The Light,Love & The Light (w/a white lie),Miss Monday,2009-04-08,263640,36,7,1,0.783,0.725,0.666,0.207,0.0814,-4.522,0.0303,97.998,4,0.392,50yFcjyZNdFSV5NYcDxemr
114,縁,縁,映秀。,2022-03-17,265735,22,3,1,0.663,0.772,0.322,0.0,0.119,-10.709,0.0599,143.184,4,0.306,1etIEtfB4rK06NjR5wNCHa
115,博徒2020,DREAMS AND NIGHTMARES,DJ RYOW,2019-10-02,214762,46,10,0,0.791,0.00104,0.706,0.000253,0.0809,-8.855,0.11,100.988,4,0.401,130jZ26LaIDeeoTIcnKBwD
116,debauchery,Sweet Bite,葛葉,2022-03-09,224066,42,7,1,0.488,0.00106,0.934,0.0,0.337,-2.79,0.136,137.974,4,0.641,2XhKgN8OZSiPYoWxmpmkmH
117,Owl Night,Sweet Bite,葛葉,2022-03-09,196040,41,6,1,0.548,0.0402,0.779,0.0,0.187,-5.113,0.0326,133.005,4,0.527,3vTtKnx83An2mZY9DxKK5e
118,エンドゲーム,Sweet Bite,葛葉,2022-03-09,235506,40,6,0,0.516,0.00105,0.964,0.0,0.33,-3.45,0.138,133.016,4,0.727,2p8sHmRbRR5HoWMjvGVeNU
119,Bad Bitter,Sweet Bite,葛葉,2022-03-09,216573,44,11,1,0.236,0.000935,0.942,0.0,0.266,-2.97,0.153,196.389,4,0.799,24cxcYH4h0PosmowlNelPZ
120,swim,PEDAL,FARMHOUSE,2018-03-20,117626,12,8,1,0.68,0.18,0.937,0.0,0.0872,-6.095,0.164,96.072,4,0.714,1cc7f5r2YPyfCIYW1IWCS3
121,ママチャリ,PEDAL,FARMHOUSE,2018-03-20,169120,16,6,1,0.707,0.00283,0.914,0.0,0.162,-5.079,0.0595,142.94,4,0.673,6bNCbia3n1afeWDIMp9YEo
122,Good Day,PEDAL,FARMHOUSE,2018-03-20,229411,27,5,0,0.598,0.311,0.572,0.0,0.141,-6.794,0.156,170.307,4,0.433,21OT5082czmZBFY0CkZaKW
123,踊らない,トンネルを抜けたら,Hitsujibungaku,2017-10-04,221866,30,7,1,0.649,0.625,0.924,3.04e-06,0.267,-1.505,0.0803,139.84,4,0.696,4nDNLGNESJykqfDlmpAiTa
124,Somewhere Near Marseilles ーマルセイユ辺りー,BADモード,Hikaru Utada,2022-01-19,714585,50,5,1,0.705,0.0163,0.744,0.195,0.083,-7.692,0.033,114.002,4,0.394,5ai97hAB5rHiV2luX5NWw5
125,Till We Die - BLOND:ISH Remix,Till We Die (Remixes),Tomas Barfod,2012-10-12,532314,26,9,0,0.657,0.00983,0.653,0.84,0.0738,-8.299,0.0363,120.998,4,0.289,5ElG87cPqXMKfThHjoBV4q
126,ワールドイズマイン,ワールドイズマイン,Humbreaders,2021-07-11,228189,37,2,1,0.346,0.00379,0.942,0.0,0.102,-3.003,0.105,158.183,4,0.417,4oST686ovDZQicgTIDtfYG
