name,album,artist,release_date,length,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
Talking Box,檸檬の日々,WurtS,44272,141933,1,0.787,0.00477,0.718,0.00107,0.0895,-6.17,0.0395,140.002,4,0.47,night
Sweet Night,ITAEWON CLASS (Original Television Soundtrack) Pt. 12,V,43903,214258,1,0.462,0.495,0.339,0.00000815,0.0893,-7.943,0.025,92.106,4,0.149,night
4:00 A.M.,Mignonne (Mastered by Bernie Grundman),Taeko Onuki,28754,336960,0,0.631,0.341,0.644,0.000411,0.0877,-10.81,0.0348,103.376,4,0.861,night
もしも,MY FAVORITES,Kaneyorimasaru,44076,341133,1,0.634,0.000523,0.788,0.0000153,0.0875,-2.713,0.0428,128.003,4,0.635,night
Heart,Heart,Aimyon,44489,271280,1,0.661,0.543,0.448,0,0.0818,-5.761,0.0522,78.114,4,0.299,night
分かってないよ,ワンス・アポン・ア・リバイバル,WurtS,44531,208937,1,0.431,0.000266,0.929,0.000023,0.344,-3.775,0.0696,149.935,4,0.596,night
結,結,Saucy Dog,43903,265043,1,0.574,0.249,0.725,0,0.152,-5.618,0.0345,77.015,4,0.525,night
金木犀の夜,タイム・ラプス,Kinokoteikoku,43355,245080,1,0.661,0.157,0.609,0.0011,0.106,-6.978,0.0281,125.961,4,0.489,night
Life Is Still Going On,Hello Future - The 1st Album Repackage,NCT DREAM,44375,218586,0,0.681,0.158,0.749,0,0.303,-3.436,0.0701,150.039,4,0.676,night
花火,桜の木の下,aiko,36586,278973,1,0.621,0.0692,0.868,0,0.0348,-5.235,0.0324,96.045,4,0.887,night
Outta My Head,XOXO,JEON SOMI,44498,188123,1,0.537,0.353,0.506,0,0.422,-6.645,0.0869,130.012,4,0.554,night
Even days (2021),Even days (2021),O3ohn,44425,246428,1,0.548,0.865,0.321,0.0209,0.324,-11.74,0.0421,139.68,4,0.191,night
Lovefool,First Band On The Moon (Remastered),The Cardigans,35065,193953,1,0.704,0.0344,0.636,0,0.35,-6.029,0.0252,111.845,4,0.89,night
It Takes Two,It Takes Two,Fiji Blue,44252,159012,1,0.731,0.338,0.597,0.00114,0.0771,-7.661,0.0567,101.991,4,0.863,night
Some,Red Diary Page.1,BOL4,43006,181373,0,0.659,0.417,0.799,0,0.0562,-2.849,0.0629,103.991,4,0.782,night
Still,She Loves Me Not,Jeff Bernat,43510,226926,1,0.485,0.581,0.315,0.000349,0.11,-11.599,0.0946,134.714,4,0.425,night
Jamais Vu,MAP OF THE SOUL : PERSONA,BTS,43567,227275,1,0.608,0.226,0.47,0,0.0963,-6.73,0.0428,81,4,0.241,night
Stigma,Wings,BTS,42653,216063,0,0.566,0.148,0.475,0,0.139,-5.556,0.089,136.442,4,0.335,night
ギブス,ギブス,Sheena Ringo,36551,328506,1,0.294,0.0417,0.848,0.0869,0.376,-2.986,0.0482,153.997,4,0.353,night
Our Style,Our Style,WILYWNKA,44358,242486,1,0.65,0.175,0.687,0.0000209,0.0344,-4.455,0.112,92.05,4,0.806,night
Jasmine,Jasmine,DPR LIVE,43016,201510,1,0.597,0.331,0.486,0,0.14,-5.893,0.0986,137.68,4,0.397,night
恋風邪にのせて,恋風邪にのせて,Vaundy,44627,255914,0,0.595,0.000064,0.909,0.000355,0.387,-3.594,0.0341,118.021,4,0.537,night
うるうびと,余命10年 (Original Soundtrack),RADWIMPS,44624,318880,1,0.489,0.401,0.522,0,0.238,-5.291,0.0306,78.035,4,0.43,night
Superpower,Superpower,SIRUP,44629,202440,0,0.769,0.147,0.747,0.00000186,0.586,-4.09,0.239,106.808,4,0.666,night
natsuyo no magic,Aiiro Music,indigo la End,42529,305640,0,0.465,0.222,0.818,0,0.216,-3.855,0.0385,80.024,4,0.669,night
BLUE - KR Ver.,BIGBANG BEST COLLECTION (Korea Edition),BIGBANG,41591,235106,1,0.616,0.0589,0.715,0,0.0661,-7.227,0.0776,125.008,4,0.332,night
○○ちゃん,tamago,Aimyon,42221,273640,1,0.398,0.0407,0.833,0.00000728,0.0773,-3.155,0.0438,190.339,4,0.38,night
Ai Wo Tsutaetaidatoka,Excitement of Youth,Aimyon,42990,235240,1,0.673,0.0345,0.85,0.0000114,0.0943,-5.021,0.0337,100.008,4,0.793,night
GANADARA (Feat. IU),GANADARA,Jay Park,44631,203727,1,0.492,0.196,0.615,0,0.0772,-6.663,0.244,90.081,4,0.458,night
ツキアカリ,Enjoy,Sakurako Ohara,43278,188106,1,0.769,0.223,0.679,0,0.343,-5.088,0.0354,107.018,4,0.752,night
Living for the City,The Compilation: Greatest Hits II and More,Roger & Zapp,35388,281546,0,0.731,0.102,0.431,0,0.184,-7.093,0.047,91.087,4,0.517,night
Can't Take My Eyes off You,The Very Best of Frankie Valli & The 4 Seasons,Frankie Valli & The Four Seasons,37635,203240,1,0.575,0.566,0.764,0.0000107,0.0692,-7.448,0.0746,123.821,4,0.536,night
Suisei (feat. Kariya Seira) - Young & Fresh mix,Suisei,tofubeats,41090,273600,1,0.817,0.0856,0.556,0.000279,0.0911,-7.116,0.0361,99.985,4,0.381,night
La La La Love Song,LA·LA·LA LOVE THANG,Toshinobu Kubota,35401,286493,0,0.754,0.125,0.908,0.0000299,0.0779,-4.555,0.0363,117.907,4,0.95,night
きらきら武士,レキツ,Rekishi,40618,246946,0,0.525,0.0811,0.931,0.0000386,0.0645,-2.271,0.0449,139.998,4,0.82,night
Light Switch,Light Switch,Charlie Puth,44581,185680,1,0.69,0.105,0.626,0.000335,0.0881,-5.693,0.306,184.009,4,0.912,night
ブルーベリー・ナイツ,hope,Macaroni Empitsu,43922,244869,1,0.66,0.278,0.865,0,0.0931,-3.642,0.0277,106.008,4,0.772,night
おやすみ泣き声、さよなら歌姫,クリープハイプ名作選,Creep Hyp,41710,238305,1,0.322,0.00146,0.928,0.000596,0.0927,-2.26,0.069,188.103,4,0.53,night
ナイトオンザプラネット,ナイトオンザプラネット,Creep Hyp,44512,267218,1,0.72,0.353,0.563,0.00091,0.101,-8.285,0.039,176.072,4,0.647,night
人生は夢だらけ,逆輸入 〜航空局〜,Sheena Ringo,43075,194240,1,0.333,0.0516,0.544,0.00000115,0.132,-4.998,0.0449,66.712,4,0.68,night
真赤,woman’s,My Hair is Bad,42662,204866,1,0.496,0.00744,0.972,0,0.0895,-3.249,0.123,97.547,4,0.35,night
